,TT_74FS,XGS600_T1,XGS600_T2,XGS600_T3,XGS600_T4
2025-09-18 11:02:17.347617-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:02:18.343517-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:19.358980-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:20.343478-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:02:21.358574-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:22.375921-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:02:23.374584-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:24.358357-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:02:25.374677-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:26.358281-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:02:27.374124-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:02:28.374035-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:29.361974-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:02:30.373889-05:00,1.1,1917.0,,13.33,0.9189
2025-09-18 11:02:31.373960-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:32.420884-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:02:33.405091-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:34.421296-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:02:35.391867-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:36.421602-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:37.421544-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:02:38.436558-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:02:39.452390-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:40.423410-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:02:41.452441-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:02:42.437228-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:43.421095-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:44.436475-05:00,1.1,1917.0,,13.33,0.9233
2025-09-18 11:02:45.436558-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:46.421372-05:00,1.1,1917.0,,13.33,0.9233
2025-09-18 11:02:47.437286-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:02:48.452063-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:02:49.421002-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:02:50.420986-05:00,1.1,1917.0,,13.33,0.9277
2025-09-18 11:02:51.436610-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:52.421492-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:02:53.439558-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:54.424575-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:02:55.421088-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:02:56.436402-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:02:57.436810-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:02:58.437172-05:00,1.1,1919.0,,13.33,0.9211
